date,name,tier,lp,score
2025-03-02,날씨가너무덥네요#KR1,Platinum I,96,19.96
2025-03-02,날씨가너무덥네요#KR1,Emerald IV,18,20.18
2025-03-09,날씨가너무덥네요#KR1,Emerald IV,18,20.18
2025-03-09,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-03-14,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-03-14,날씨가너무덥네요#KR1,Emerald IV,96,20.96
2025-03-14,날씨가너무덥네요#KR1,Emerald IV,96,20.96
2025-03-14,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-03-15,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-03-15,날씨가너무덥네요#KR1,Emerald IV,95,20.95
2025-03-23,날씨가너무덥네요#KR1,Emerald IV,95,20.95
2025-03-23,날씨가너무덥네요#KR1,Emerald III,17,21.17
2025-03-23,날씨가너무덥네요#KR1,Emerald III,17,21.17
2025-03-23,날씨가너무덥네요#KR1,Emerald IV,97,20.97
2025-05-04,날씨가너무덥네요#KR1,Emerald IV,97,20.97
2025-05-04,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-05-04,날씨가너무덥네요#KR1,Emerald III,11,21.11
2025-05-04,날씨가너무덥네요#KR1,Emerald IV,95,20.95
2025-05-11,날씨가너무덥네요#KR1,Emerald IV,95,20.95
2025-05-11,날씨가너무덥네요#KR1,Emerald III,21,21.21
2025-06-01,날씨가너무덥네요#KR1,Emerald III,21,21.21
2025-06-01,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-03,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-03,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-03,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-03,날씨가너무덥네요#KR1,Emerald IV,80,20.8
2025-06-03,날씨가너무덥네요#KR1,Emerald IV,80,20.8
2025-06-03,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-03,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-03,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-06,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-06-06,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-06,날씨가너무덥네요#KR1,Emerald III,1,21.01
2025-06-06,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-07-12,날씨가너무덥네요#KR1,Emerald IV,81,20.81
2025-07-12,날씨가너무덥네요#KR1,Platinum I,75,19.75
2025-07-25,날씨가너무덥네요#KR1,Platinum I,75,19.75
